Type,Height,Pitch,Reynolds,Nusselt,Cf,Performance
0.0,0.01,0.5,10000.0,1.3708295822143555,1.2013635635375977,0.7072883248329163
0.0,0.01,1.0,10000.0,1.2976491451263428,1.150968074798584,0.7179407477378845
0.0,0.01,1.5,10000.0,1.2606878280639648,1.035365343093872,0.7297386527061462
0.0,0.015,0.5,10000.0,1.5802913904190063,1.6065258979797363,0.6333643198013306
0.0,0.015,1.0,10000.0,1.4016138315200806,1.2158899307250977,0.6715019941329956
0.0,0.015,1.5,10000.0,1.3420265913009644,1.0771087408065796,0.6910499334335327
0.0,0.019999999999999997,0.5,10000.0,1.7405738830566406,2.053584337234497,0.6029988527297974
0.0,0.019999999999999997,1.0,10000.0,1.5244687795639038,1.4555093050003052,0.6412962079048157
0.0,0.019999999999999997,1.5,10000.0,1.436819314956665,1.2050127983093262,0.6630719304084778
0.0,0.024999999999999998,0.5,10000.0,1.913173794746399,2.5560123920440674,0.5693581104278564
0.0,0.024999999999999998,1.0,10000.0,1.657180905342102,1.7633329629898071,0.6134334206581116
0.0,0.024999999999999998,1.5,10000.0,1.5423439741134644,1.4263863563537598,0.6397954225540161
0.0,0.03,0.5,10000.0,2.0935235023498535,3.1603710651397705,0.5416955947875977
0.0,0.03,1.0,10000.0,1.78122079372406,2.127415895462036,0.5969837307929993
0.0,0.03,1.5,10000.0,1.6299797296524048,1.7316654920578003,0.6333137154579163
0.0,0.034999999999999996,0.5,10000.0,2.2432479858398438,3.8857436180114746,0.5351743102073669
0.0,0.034999999999999996,1.0,10000.0,1.8926721811294556,2.5608630180358887,0.5933287739753723
0.0,0.034999999999999996,1.5,10000.0,1.7133642435073853,2.0604851245880127,0.6324319839477539
0.0,0.039999999999999994,0.5,10000.0,2.3786306381225586,4.674865245819092,0.5337355136871338
0.0,0.039999999999999994,1.0,10000.0,1.9916925430297852,3.036306858062744,0.5971285104751587
0.0,0.039999999999999994,1.5,10000.0,1.7971551418304443,2.4725987911224365,0.6363311409950256
0.0,0.045,0.5,10000.0,2.4900918006896973,5.494833469390869,0.5356155633926392
0.0,0.045,1.0,10000.0,2.0853240489959717,3.6595299243927,0.6040531396865845
0.0,0.045,1.5,10000.0,1.8721928596496582,2.9092609882354736,0.6430584788322449
0.0,0.049999999999999996,0.5,10000.0,2.588966131210327,6.444766521453857,0.5392669439315796
0.0,0.049999999999999996,1.0,10000.0,2.1722829341888428,4.398362636566162,0.6128209233283997
0.0,0.049999999999999996,1.5,10000.0,1.9454867839813232,3.393605947494507,0.6524584889411926
0.0,0.01,0.5,12000.0,1.363947868347168,1.2381871938705444,0.7132138609886169
0.0,0.01,1.0,12000.0,1.2889652252197266,1.1821918487548828,0.7278165221214294
0.0,0.01,1.5,12000.0,1.2488372325897217,1.066100835800171,0.7422804236412048
0.0,0.015,0.5,12000.0,1.570148229598999,1.6572215557098389,0.6467705368995667
0.0,0.015,1.0,12000.0,1.389917016029358,1.2478008270263672,0.685005247592926
0.0,0.015,1.5,12000.0,1.3263766765594482,1.1144624948501587,0.7069038152694702
0.0,0.019999999999999997,0.5,12000.0,1.7320220470428467,2.1153900623321533,0.6164255738258362
0.0,0.019999999999999997,1.0,12000.0,1.5111339092254639,1.4993541240692139,0.6576146483421326
0.0,0.019999999999999997,1.5,12000.0,1.419825553894043,1.242923378944397,0.6795634627342224
0.0,0.024999999999999998,0.5,12000.0,1.8975274562835693,2.6480724811553955,0.5880773067474365
0.0,0.024999999999999998,1.0,12000.0,1.64145028591156,1.8175431489944458,0.6322991847991943
0.0,0.024999999999999998,1.5,12000.0,1.5241827964782715,1.4694197177886963,0.6575803756713867
0.0,0.03,0.5,12000.0,2.0574216842651367,3.281895160675049,0.568318784236908
0.0,0.03,1.0,12000.0,1.7497179508209229,2.211247205734253,0.6241977214813232
0.0,0.03,1.5,12000.0,1.6043319702148438,1.7953983545303345,0.6561928391456604
0.0,0.034999999999999996,0.5,12000.0,2.2014236450195312,4.035254001617432,0.5635541081428528
0.0,0.034999999999999996,1.0,12000.0,1.850688099861145,2.662816286087036,0.6244984865188599
0.0,0.034999999999999996,1.5,12000.0,1.6786141395568848,2.155151844024658,0.6604596972465515
0.0,0.039999999999999994,0.5,12000.0,2.332698345184326,4.829095363616943,0.5629982948303223
0.0,0.039999999999999994,1.0,12000.0,1.9445128440856934,3.1545684337615967,0.6301440596580505
0.0,0.039999999999999994,1.5,12000.0,1.7536721229553223,2.578540802001953,0.6676827669143677
0.0,0.045,0.5,12000.0,2.4380226135253906,5.6990885734558105,0.5665884017944336
0.0,0.045,1.0,12000.0,2.0356996059417725,3.8217976093292236,0.6372871398925781
0.0,0.045,1.5,12000.0,1.8254884481430054,3.0289602279663086,0.6764918565750122
0.0,0.049999999999999996,0.5,12000.0,2.533647060394287,6.6652045249938965,0.571293830871582
0.0,0.049999999999999996,1.0,12000.0,2.118464946746826,4.572988033294678,0.6475644707679749
0.0,0.049999999999999996,1.5,12000.0,1.896067500114441,3.527735948562622,0.6877684593200684
0.0,0.01,0.5,14000.0,1.3610464334487915,1.2682336568832397,0.7173109650611877
0.0,0.01,1.0,14000.0,1.2844078540802002,1.196284294128418,0.733558714389801
0.0,0.01,1.5,14000.0,1.2419207096099854,1.0826923847198486,0.7509791254997253
0.0,0.015,0.5,14000.0,1.5608093738555908,1.6957390308380127,0.6577187180519104
0.0,0.015,1.0,14000.0,1.3798881769180298,1.2872449159622192,0.6984464526176453
0.0,0.015,1.5,14000.0,1.3148603439331055,1.1442838907241821,0.7201045155525208
0.0,0.019999999999999997,0.5,14000.0,1.7234818935394287,2.174450397491455,0.629639208316803
0.0,0.019999999999999997,1.0,14000.0,1.5016719102859497,1.5470805168151855,0.6716951727867126
0.0,0.019999999999999997,1.5,14000.0,1.4040510654449463,1.28583824634552,0.6958865523338318
0.0,0.024999999999999998,0.5,14000.0,1.8894331455230713,2.7291476726531982,0.6028758883476257
0.0,0.024999999999999998,1.0,14000.0,1.626662015914917,1.8723423480987549,0.6499068140983582
0.0,0.024999999999999998,1.5,14000.0,1.505479335784912,1.5243631601333618,0.6767944097518921
0.0,0.03,0.5,14000.0,2.0384345054626465,3.395853281021118,0.5895819664001465
0.0,0.03,1.0,14000.0,1.726341724395752,2.2863192558288574,0.647943377494812
0.0,0.03,1.5,14000.0,1.5826350450515747,1.861641526222229,0.6781339645385742
0.0,0.034999999999999996,0.5,14000.0,2.164958953857422,4.187800884246826,0.5915282964706421
0.0,0.034999999999999996,1.0,14000.0,1.8190351724624634,2.765469551086426,0.6530333757400513
0.0,0.034999999999999996,1.5,14000.0,1.6516575813293457,2.2528951168060303,0.6864123940467834
0.0,0.039999999999999994,0.5,14000.0,2.277738332748413,5.006896495819092,0.5955332517623901
0.0,0.039999999999999994,1.0,14000.0,1.9036250114440918,3.2793164253234863,0.6624389886856079
0.0,0.039999999999999994,1.5,14000.0,1.7203923463821411,2.686392307281494,0.6963118314743042
0.0,0.045,0.5,14000.0,2.3821141719818115,5.919220447540283,0.5992370843887329
0.0,0.045,1.0,14000.0,1.9870038032531738,3.9915382862091064,0.6723378300666809
0.0,0.045,1.5,14000.0,1.7853468656539917,3.150566816329956,0.7085075974464417
0.0,0.049999999999999996,0.5,14000.0,2.476970672607422,6.891186237335205,0.6040383577346802
0.0,0.049999999999999996,1.0,14000.0,2.0646636486053467,4.764358043670654,0.6839211583137512
0.0,0.049999999999999996,1.5,14000.0,1.846980094909668,3.6728930473327637,0.7243025302886963
